2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 | ===========================================END OF TICK===========================================
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 | 04/30/2026 10:43:27: Processing tick: O=143.90251600286087948836068413, H=144.04498117781531803928548065, L=142.83045480571130455819296177, C=143.90251600286087948836068413, V=10330783, Spread=0.01
2026-04-29 12:43:27.652 trce: Venue.Src.Core.Execution.Broker.Broker[0]                          | 04/30/2026 10:43:27 Processing orders.
2026-04-29 12:43:27.652 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | No active orders to process.
2026-04-29 12:43:27.652 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 142.26425289595271564825609225, LongTermMA: 146.29135465701828152972095563.
2026-04-29 12:43:27.652 dbug: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Indicators not ready. ShortTermMA IsReady: True, LongTermMA IsReady: False. Skipping trading logic.
2026-04-29 12:43:27.652 trce: Venue.Src.Core.TradeLogging.TradeLogger[0]                         | 04/30/2026 10:43:27 Recorded equity 10000 
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 | ===========================================END OF TICK===========================================
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.652 trce: Venue.Src.Application.Simulator[0]                                 | 04/30/2026 11:43:27: Processing tick: O=144.91591587106764712113984689, H=145.16725418702767182997124052, L=144.34864159084056640801475051, C=144.91591587106764712113984689, V=66144974, Spread=0.01
2026-04-29 12:43:27.652 trce: Venue.Src.Core.Execution.Broker.Broker[0]                          | 04/30/2026 11:43:27 Processing orders.
2026-04-29 12:43:27.652 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | No active orders to process.
2026-04-29 12:43:27.652 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 142.60219032328125892069205903, LongTermMA: 146.26384588129926884154933345.
